text,question,answer_term,ep,sp
" activated by ALD. Cardiomyocytes that were injured by ALD were assayed by the MTT and LDH leakage ratio. Apoptosis was evaluated by a TUNEL assay, annexin V/PI staining, and caspase-3 activity. The expression of cleavage of Bid (tBid), calpain and apoptosis-inducing factor (AIF) was evaluated by western blot analysis. ALD increased calpain expression and caspase-3 activity and promoted Bid cleavage. It also induced the release of AIF from mitochondria into the cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased",ALD acts as INDIRECT-UPREGULATOR for what entity? ,calpain,244.0,237.0
" Activation of an apoptotic signal transduction pathway involved in the upregulation of calpain and apoptosis-inducing factor in aldosteron -induced primary cultured cardiomyocytes.In this study, aldosterone (ALD)-induced apoptosis of cardiomyocyte was evaluated based on the previous studies, and the roles of calpain signaling were clarified. Primary cultured rat cardiomyocytes were injured by ALD (0.01-10 μM) for varying time periods. Then, the effects of ethylene glycol tetraacetic acid (EGTA)",aldosterone acts as INDIRECT-UPREGULATOR for what entity? ,calpain,95.0,88.0
" Activation of an apoptotic signal transduction pathway involved in the upregulation of calpain and apoptosis-inducing factor in aldosteron -induced primary cultured cardiomyocytes.In this study, aldosterone (ALD)-induced apoptosis of cardiomyocyte was evaluated based on the previous studies, and the roles of calpain signaling were clarified. Primary cultured rat cardiomyocytes were injured by ALD (0.01-10 μM) for varying time periods. Then, the effects of ethylene glycol tetraacetic acid (EGTA)",aldosterone acts as INDIRECT-UPREGULATOR for what entity? ,apoptosis-inducing factor,125.0,100.0
" (AIF) was evaluated by western blot analysis. ALD increased calpain expression and caspase-3 activity and promoted Bid cleavage. It also induced the release of AIF from mitochondria into the cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain and AIF levels.",ALD acts as INDIRECT-UPREGULATOR for what entity? ,calpain,68.0,61.0
" (AIF) was evaluated by western blot analysis. ALD increased calpain expression and caspase-3 activity and promoted Bid cleavage. It also induced the release of AIF from mitochondria into the cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain and AIF levels.",ALD acts as INDIRECT-UPREGULATOR for what entity? ,tBid,234.0,230.0
" by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD induced increase of calpain and AIF levels.",ALD acts as INDIRECT-UPREGULATOR for what entity? ,calpain,346.0,339.0
" by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD induced increase of calpain and AIF levels.",ALD acts as INDIRECT-UPREGULATOR for what entity? ,AIF,65.0,62.0
" Activation of an apoptotic signal transduction pathway involved in the upregulation of calpain and apoptosis-inducing factor in aldosterone-induced primary cultured cardiomyocytes.In this study, aldosterone (ALD)-induced apoptosis of cardiomyocyte was evaluated based on the previous studies, and the roles of calpain signaling were clarified. Primary cultured rat cardiomyocytes were injured by ALD (0.01-10 μM) for varying time periods. Then, the effects of ethylene glycol tetraacetic acid (EGTA) (0.5 mM), calpeptin (2.5 μM), and spironoclactone",aldosterone acts as INDIRECT-UPREGULATOR for what entity? ,calpain,95.0,88.0
" (tBid), calpain and apoptosis-inducing factor (AIF) was evaluated by western blot analysis. ALD increased calpain expression and caspase-3 activity and promoted Bid cleavage. It also induced the release of AIF from mitochondria into the cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain",EGTA acts as INDIRECT-DOWNREGULATOR for what entity? ,calpain,16.0,9.0
" (tBid), calpain and apoptosis-inducing factor (AIF) was evaluated by western blot analysis. ALD increased calpain expression and caspase-3 activity and promoted Bid cleavage. It also induced the release of AIF from mitochondria into the cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain",EGTA acts as INDIRECT-DOWNREGULATOR for what entity? ,tBid,280.0,276.0
" expression and caspase-3 activity and promoted Bid cleavage. It also induced the release of AIF from mitochondria into the cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain and AIF levels.",EGTA acts as INDIRECT-DOWNREGULATOR for what entity? ,AIF,96.0,93.0
" cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain and AIF levels.",spironoclactone acts as INDIRECT-DOWNREGULATOR for what entity? ,calpain,435.0,428.0
" cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain and AIF levels.",spironoclactone acts as INDIRECT-DOWNREGULATOR for what entity? ,AIF,154.0,151.0
" (tBid), calpain and apoptosis-inducing factor (AIF) was evaluated by western blot analysis. ALD increased calpain expression and caspase-3 activity and promoted Bid cleavage. It also induced the release of AIF from mitochondria into the cytosol. The upregulation of calpain, tBid and caspase-3 activity were further inhibited by treatment with EGTA in the presence of ALD. Additionally, AIF levels in the cytosol decreased due to EGTA but not due to calpeptin. This was also accompanied by a significant decrease in apoptosis. Furthermore, treatment with spironoclactone not only attenuated the pro-apoptotic effect of ALD but reversed the ALD-induced increase of calpain",EGTA acts as INHIBITOR for what entity? ,caspase-3,139.0,130.0
" control groups, the plaque endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO-HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and cell apoptosis in plaque.",SFO acts as REGULATOR for what entity? ,apoE,-1.0,-1.0
" endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO-HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO-HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and cell apoptosis in plaque.",SFO acts as REGULATOR for what entity? ,apoE,-1.0,-1.0
" containing these herbs, such as pesto sauce, cola beverages and bologna sausages. The effects of SFO in mammalian systems, especially the cardiovascular system, are little known. Disruption of vulnerable atherosclerotic plaques in atherosclerosis, a chronic inflammatory disease, is the main cause of cardiovascular events. In this study, we investigated SFO induced atherosclerotic plaque vulnerability (possibility of rupture) in apolipoprotein E-knockout (apoE(-/-)) mice. Lipid area in vessel wall reached 59.8% in high dose SFO (SFO-HD) treated group, which is only 31.2% in control group. SFO treatment changed the lesion composition to an unstable phenotype, increased the number of apoptotic cells",SFO acts as REGULATOR for what entity? ,apolipoprotein E,-1.0,-1.0
" containing these herbs, such as pesto sauce, cola beverages and bologna sausages. The effects of SFO in mammalian systems, especially the cardiovascular system, are little known. Disruption of vulnerable atherosclerotic plaques in atherosclerosis, a chronic inflammatory disease, is the main cause of cardiovascular events. In this study, we investigated SFO induced atherosclerotic plaque vulnerability (possibility of rupture) in apolipoprotein E-knockout (apoE(-/-)) mice. Lipid area in vessel wall reached 59.8% in high dose SFO (SFO-HD) treated group, which is only 31.2% in control group. SFO treatment changed the lesion composition to an unstable phenotype, increased the number of apoptotic cells",SFO acts as REGULATOR for what entity? ,apoE,-1.0,-1.0
" endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO-HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO-HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and cell apoptosis in plaque.",SFO acts as ACTIVATOR for what entity? ,p75(NTR),30.0,22.0
" endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO-HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO-HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and cell apoptosis in plaque.",SFO acts as ACTIVATOR for what entity? ,IL-8,181.0,177.0
" the lesion composition to an unstable phenotype, increased the number of apoptotic cells in plaque and the endothelium in plaques was damaged after SFO treatment. Furthermore, compared with control groups, the plaque endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO-HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and",SFO acts as INDIRECT-UPREGULATOR for what entity? ,p75(NTR),247.0,239.0
" the lesion composition to an unstable phenotype, increased the number of apoptotic cells in plaque and the endothelium in plaques was damaged after SFO treatment. Furthermore, compared with control groups, the plaque endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO-HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and",SFO acts as INDIRECT-UPREGULATOR for what entity? ,p75(NTR),247.0,239.0
" control groups, the plaque endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO-HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and cell apoptosis in plaque.",SFO acts as INDIRECT-UPREGULATOR for what entity? ,IL-8,208.0,204.0
" control groups, the plaque endothelium level of p75(NTR) was 3-fold increased and the liver level of p75(NTR) was 17.4-fold increased by SFO-HD. Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in SFO HD treated group. Thus, SFO contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and IL-8 and cell apoptosis in plaque.",SFO acts as INDIRECT-UPREGULATOR for what entity? ,alpha chemokine,253.0,238.0
" acetylcholinesterase, butyrylcholinesterase and aggregation of amyloid beta peptides (1-40, 1-42 and 1-40_1-42). The enzyme inhibition assay results indicated that compounds moderately inhibit both acetylcholinesterase and butyrylcholinesterase. β-Amyloid aggregation results showed that all compounds exhibited remarkable Aβ fibril aggregation inhibition activity with a nearly similar potential as the reference compound rifampicin which makes them promising anti-Alzheimer drug candidates. Docking experiments were carried out with the aim to understand the interactions of the most active compounds with the active site of the cholinesterase enzymes.",rifampicin acts as INHIBITOR for what entity? ,Aβ,326.0,324.0
" Synthesis, molecular modeling and evaluation of novel N'-2-(4-benzylpiperidin-/piperazin-1-yl)acylhydrazone derivatives as dual inhibitors for cholinesterases and Aβ aggregation.To develop new drugs for treatment of Alzheimer's disease, a group of N'-2-(4-Benzylpiperidin-/piperazin-1-yl)acylhydrazones was designed, synthesized and tested for their ability to inhibit acetylcholinesterase, butyrylcholinesterase and aggregation of amyloid beta peptides (1-40, 1-42 and 1-40_1-42). The enzyme inhibition assay results indicated that compounds moderately inhibit both acetylcholinesterase and butyrylcholinesterase. β-Amyloid aggregation results showed that all compounds exhibited remarkable Aβ fibril aggregation inhibition",N'-2-(4-Benzylpiperidin-/piperazin-1-yl)acylhydrazones acts as INHIBITOR for what entity? ,acetylcholinesterase,588.0,568.0
" Synthesis, molecular modeling and evaluation of novel N'-2-(4-benzylpiperidin-/piperazin-1-yl)acylhydrazone derivatives as dual inhibitors for cholinesterases and Aβ aggregation.To develop new drugs for treatment of Alzheimer's disease, a group of N'-2-(4-Benzylpiperidin-/piperazin-1-yl)acylhydrazones was designed, synthesized and tested for their ability to inhibit acetylcholinesterase, butyrylcholinesterase and aggregation of amyloid beta peptides (1-40, 1-42 and 1-40_1-42). The enzyme inhibition assay results indicated that compounds moderately inhibit both acetylcholinesterase and butyrylcholinesterase. β-Amyloid aggregation results showed that all compounds exhibited remarkable Aβ fibril aggregation inhibition",N'-2-(4-Benzylpiperidin-/piperazin-1-yl)acylhydrazones acts as INHIBITOR for what entity? ,butyrylcholinesterase,413.0,392.0
" Synthesis, molecular modeling and evaluation of novel N'-2-(4-benzylpiperidin-/piperazin-1-yl)acylhydrazon derivatives as dual inhibitors for cholinesterases and Aβ aggregation.To develop new drugs for treatment of Alzheimer's disease, a group of N'-2-(4-Benzylpiperidin-/piperazin-1-yl)acylhydrazones was designed, synthesized and tested for their ability to inhibit acetylcholinesterase, butyrylcholinesterase and aggregation of amyloid beta peptides (1-40, 1-42 and 1-40_1-42). The enzyme inhibition assay results indicated",N'-2-(4-benzylpiperidin-/piperazin-1-yl)acylhydrazone acts as INHIBITOR for what entity? ,cholinesterases,158.0,143.0
" Synthesis, molecular modeling and evaluation of novel N'-2-(4-benzylpiperidin-/piperazin-1-yl)acylhydrazon derivatives as dual inhibitors for cholinesterases and Aβ aggregation.To develop new drugs for treatment of Alzheimer's disease, a group of N'-2-(4-Benzylpiperidin-/piperazin-1-yl)acylhydrazones was designed, synthesized and tested for their ability to inhibit acetylcholinesterase, butyrylcholinesterase and aggregation of amyloid beta peptides (1-40, 1-42 and 1-40_1-42). The enzyme inhibition assay results indicated",N'-2-(4-benzylpiperidin-/piperazin-1-yl)acylhydrazone acts as INHIBITOR for what entity? ,Aβ,165.0,163.0
" NF-κB-associated mechanisms underlying the response of embryonic cells to Doxorubici .The involvement of NF-κB in the regulation of teratogen-induced apoptosis has not been established yet. Therefore, we tried to assess the involvement of the p65 subunit of NF-κB in the embryonic response to the anti-cancer drug Doxorubicin (DOX). Thus, exposure of p65 knockout (p65(-/-)) or wild type (WT) mouse",Doxorubicin acts as INDIRECT-REGULATOR for what entity? ,NF-κB,111.0,106.0
" and cell proliferation, which was found to be more prominent in p65(-/-) MEFs. Those phenomena were accompanied by a DOX-induced increase in the proportion of apoptotic cells, which was demonstrated only in p65(-/-) cells and a G2/M arrest, which was found to be more prominent in WT cells. Furthermore, DOX treated WT and p65(-/-) MEFs differed in their expression of various apoptosis-associated molecules, when the former demonstrated a decrease in the percentage of p65-positive and a more prominent decrease in the percentage of p53-positive cells, while a decreased percentage of IκBα-positive and a more prominent decrease in the percentage",DOX acts as INDIRECT-DOWNREGULATOR for what entity? ,p65,-1.0,-1.0
" G6PC2: A Negative Regulator of Basal Glucos -Stimulated Insulin Secretion.Elevated fasting blood glucose (FBG) is associated with increased risk for the development of type 2 diabetes and cardiovascular-associated mortality. Genome-wide association studies (GWAS) have linked polymorphisms in G6PC2 with variations in FBG and body fat, although not insulin sensitivity or glucose tolerance. G6PC2 encodes an islet-specific,",Glucose acts as UPREGULATOR for what entity? ,Insulin,64.0,57.0
" deletion had little effect on insulin sensitivity and glucose tolerance, whereas body fat was reduced in female G6pc2 knockout (KO) mice on both a chow and high-fat diet, observations that are all consistent with human GWAS data. G6pc2 deletion resulted in a leftward shift in the dose-response curve for glucose stimulated insulin secretion (GSIS). As a consequence, under fasting conditions in which plasma insulin levels were identical, blood glucose levels were reduced in G6pc2 KO mice, again consistent with human GWAS data. Glucose-6-phosphatase activity was reduced, whereas basal cytoplasmic calcium levels were elevated in islets isolated from G6pc2 KO",glucose acts as UPREGULATOR for what entity? ,insulin,38.0,31.0
" glucose levels were reduced in G6pc2 KO mice, again consistent with human GWAS data. Glucose-6-phosphatase activity was reduced, whereas basal cytoplasmic calcium levels were elevated in islets isolated from G6pc2 KO mice. These data suggest that G6pc2 represents a novel, negative regulator of basal GSIS that acts by hydrolyzing glucose-6-phosphate thereby reducing glycolytic flux.",glucose-6-phosphate acts as SUBSTRATE for what entity? ,G6pc2,37.0,32.0
" was induced by single intraperitoneal injection of streptozotocin (50 mg/kg body weight). Fisetin was administered orally for 30 days. At the end of the study, all animals were killed. Blood samples were collected for the biochemical estimations. The antioxidant status was evaluated. Histological examinations were performed on pancreatic tissues. Fisetin treatment showed a significant decline in the levels of blood glucose, glycosylated hemoglobin (HbA1c), NF-kB p65 unit (in pancreas) and IL-1β (plasma), serum nitric oxide (NO) with an elevation in plasma insulin. The treatment also improved the antioxidant status in pancreas as well as plasma of diabetic rats indicating",Fisetin acts as INDIRECT-UPREGULATOR for what entity? ,insulin,-1.0,-1.0
" was induced by single intraperitoneal injection of streptozotocin (50 mg/kg body weight). Fisetin was administered orally for 30 days. At the end of the study, all animals were killed. Blood samples were collected for the biochemical estimations. The antioxidant status was evaluated. Histological examinations were performed on pancreatic tissues. Fisetin treatment showed a significant decline in the levels of blood glucose, glycosylated hemoglobin (HbA1c), NF-kB p65 unit (in pancreas) and IL-1β (plasma), serum nitric oxide (NO) with an elevation in plasma insulin. The treatment also improved the antioxidant status in pancreas as well as plasma of diabetic rats indicating",Fisetin acts as INDIRECT-DOWNREGULATOR for what entity? ,glycosylated hemoglobin,452.0,429.0
" was induced by single intraperitoneal injection of streptozotocin (50 mg/kg body weight). Fisetin was administered orally for 30 days. At the end of the study, all animals were killed. Blood samples were collected for the biochemical estimations. The antioxidant status was evaluated. Histological examinations were performed on pancreatic tissues. Fisetin treatment showed a significant decline in the levels of blood glucose, glycosylated hemoglobin (HbA1c), NF-kB p65 unit (in pancreas) and IL-1β (plasma), serum nitric oxide (NO) with an elevation in plasma insulin. The treatment also improved the antioxidant status in pancreas as well as plasma of diabetic rats indicating",Fisetin acts as INDIRECT-DOWNREGULATOR for what entity? ,HbA1c,-1.0,-1.0
" was induced by single intraperitoneal injection of streptozotocin (50 mg/kg body weight). Fisetin was administered orally for 30 days. At the end of the study, all animals were killed. Blood samples were collected for the biochemical estimations. The antioxidant status was evaluated. Histological examinations were performed on pancreatic tissues. Fisetin treatment showed a significant decline in the levels of blood glucose, glycosylated hemoglobin (HbA1c), NF-kB p65 unit (in pancreas) and IL-1β (plasma), serum nitric oxide (NO) with an elevation in plasma insulin. The treatment also improved the antioxidant status in pancreas as well as plasma of diabetic rats indicating",Fisetin acts as INDIRECT-DOWNREGULATOR for what entity? ,NF-kB,467.0,462.0
" was induced by single intraperitoneal injection of streptozotocin (50 mg/kg body weight). Fisetin was administered orally for 30 days. At the end of the study, all animals were killed. Blood samples were collected for the biochemical estimations. The antioxidant status was evaluated. Histological examinations were performed on pancreatic tissues. Fisetin treatment showed a significant decline in the levels of blood glucose, glycosylated hemoglobin (HbA1c), NF-kB p65 unit (in pancreas) and IL-1β (plasma), serum nitric oxide (NO) with an elevation in plasma insulin. The treatment also improved the antioxidant status in pancreas as well as plasma of diabetic rats indicating",Fisetin acts as INDIRECT-DOWNREGULATOR for what entity? ,p65,471.0,468.0
" was induced by single intraperitoneal injection of streptozotocin (50 mg/kg body weight). Fisetin was administered orally for 30 days. At the end of the study, all animals were killed. Blood samples were collected for the biochemical estimations. The antioxidant status was evaluated. Histological examinations were performed on pancreatic tissues. Fisetin treatment showed a significant decline in the levels of blood glucose, glycosylated hemoglobin (HbA1c), NF-kB p65 unit (in pancreas) and IL-1β (plasma), serum nitric oxide (NO) with an elevation in plasma insulin. The treatment also improved the antioxidant status in pancreas as well as plasma of diabetic rats indicating",Fisetin acts as INDIRECT-DOWNREGULATOR for what entity? ,IL-1β,500.0,495.0
" study the mechanism of action of Tinospora cordifolia and its active compound in differentiated myocytes, L6 cells. Key marker of diabetes in cells is the insulin dependent glucose transporter-4 (Glut-4) which also responds to exogenous chemicals, and is over expressed up to 5- and 4-fold, by Tinospora cordifolia and palmatine respectively. Next to Glut-4, the predominant protein influencing glucose metabolism is PPARα and γ whose expressions were also positively modulated. Further, the inhibitors of insulin pathway prevented glucose uptake mediated by Tinospora cordifolia and palmatine which shows that the activity is majorly mediated through insulin pathway.",palmatine acts as REGULATOR for what entity? ,insulin dependent glucose transporter-4,195.0,156.0
" study the mechanism of action of Tinospora cordifolia and its active compound in differentiated myocytes, L6 cells. Key marker of diabetes in cells is the insulin dependent glucose transporter-4 (Glut-4) which also responds to exogenous chemicals, and is over expressed up to 5- and 4-fold, by Tinospora cordifolia and palmatine respectively. Next to Glut-4, the predominant protein influencing glucose metabolism is PPARα and γ whose expressions were also positively modulated. Further, the inhibitors of insulin pathway prevented glucose uptake mediated by Tinospora cordifolia and palmatine which shows that the activity is majorly mediated through insulin pathway.",palmatine acts as REGULATOR for what entity? ,Glut-4,-1.0,-1.0
" chemicals, and is over expressed up to 5- and 4-fold, by Tinospora cordifolia and palmatine, respectively. Next to Glut-4, the predominant protein influencing glucose metabolism is PPARα and γ whose expressions were also positively modulated. Further, the inhibitors of insulin pathway prevented glucose uptake mediated by Tinospora cordifolia and palmatine which shows that the activity is majorly mediated through insulin pathway.",palmatine acts as REGULATOR for what entity? ,insulin,278.0,271.0
" its active compound in differentiated myocytes, L6 cells. Key marker of diabetes in cells is the insulin dependent glucose transporter-4 (Glut-4) which also responds to exogenous chemicals, and is over expressed up to 5- and 4-fold, by Tinospora cordifolia and palmatine, respectively. Next to Glut-4, the predominant protein influencing glucose metabolism is PPARα and γ whose expressions were also positively modulated. Further, the inhibitors of insulin pathway prevented glucose uptake mediated by Tinospora cordifolia and palmatine which shows that the activity is majorly mediated through insulin pathway.",glucose acts as SUBSTRATE for what entity? ,Glut-4,-1.0,-1.0
" Zinc drives a tertiary fold in the prion protein with familial disease mutation sites at the interface.The cellular prion protein PrP(C) consists of two domains--a flexible N-terminal domain, which participates in copper and zinc regulation, and a largely helical C terminal domain that converts to β sheet in the course of prion disease. These two domains are thought to be fully independent and noninteracting. Compelling cellular and biophysical studies, however, suggest a higher order structure that is relevant to both PrP(C) function and misfolding in disease. Here, we identify",C acts as PART-OF for what entity? ,prion protein PrP(C),137.0,117.0
" that converts to β sheet in the course of prion disease. These two domains are thought to be fully independent and noninteracting. Compelling cellular and biophysical studies, however, suggest a higher order structure that is relevant to both PrP(C) function and misfolding in disease. Here, we identify a Zn²⁺-driven N terminal to C-terminal tertiary interaction in PrP(C). The C-terminal surface participating in this interaction carries the majority of the point mutations that confer familial prion disease. Investigation of mutant PrPs finds a systematic relationship between the type of mutation and the apparent strength of this domain structure. The structural",N acts as PART-OF for what entity? ,PrP(C),250.0,244.0
" to β sheet in the course of prion disease. These two domains are thought to be fully independent and noninteracting. Compelling cellular and biophysical studies, however, suggest a higher order structure that is relevant to both PrP(C) function and misfolding in disease. Here, we identify a Zn²⁺-driven N-terminal to C terminal tertiary interaction in PrP(C). The C-terminal surface participating in this interaction carries the majority of the point mutations that confer familial prion disease. Investigation of mutant PrPs finds a systematic relationship between the type of mutation and the apparent strength of this domain structure. The structural features identified",C acts as PART-OF for what entity? ,PrP(C),236.0,230.0
" Zinc drives a tertiary fold in the prion protein with familial disease mutation sites at the interface.The cellular prion protein PrP(C) consists of two domains--a flexible N terminal domain, which participates in copper and zinc regulation, and a largely helical C-terminal domain that converts to β sheet in the course of prion disease. These two domains are thought to be fully independent and noninteracting. Compelling cellular and biophysical studies, however, suggest a higher order structure that",N acts as PART-OF for what entity? ,prion protein PrP(C),137.0,117.0
" Zinc drives a tertiary fold in the prion protein with familial disease mutation sites at the interface.The cellular prion protein PrP(C) consists of two domains--a flexible N-terminal domain, which participates in copper and zinc regulation, and a largely helical C-terminal domain that converts to β sheet in the course of prion disease. These two domains are thought to be fully independent and noninteracting. Compelling cellular and biophysical studies, however, suggest a higher order structure that is relevant to both PrP(C) function",copper acts as REGULATOR for what entity? ,prion protein PrP(C),137.0,117.0
" Zinc drives a tertiary fold in the prion protein with familial disease mutation sites at the interface.The cellular prion protein PrP(C) consists of two domains--a flexible N-terminal domain, which participates in copper and zinc regulation, and a largely helical C-terminal domain that converts to β sheet in the course of prion disease. These two domains are thought to be fully independent and noninteracting. Compelling cellular and biophysical studies, however, suggest a higher order structure that is relevant to both PrP(C) function and misfolding",zinc acts as REGULATOR for what entity? ,prion protein PrP(C),137.0,117.0
" domain that converts to β sheet in the course of prion disease. These two domains are thought to be fully independent and noninteracting. Compelling cellular and biophysical studies, however, suggest a higher order structure that is relevant to both PrP(C) function and misfolding in disease. Here, we identify a Zn²⁺ driven N-terminal to C-terminal tertiary interaction in PrP(C). The C-terminal surface participating in this interaction carries the majority of the point mutations that confer familial prion disease. Investigation of mutant PrPs finds a systematic relationship between the type of mutation and the apparent strength of this domain structure. The",Zn²⁺ acts as REGULATOR for what entity? ,PrP(C),257.0,251.0
" opening of cell junctions, presence of anions). The results indicate that fluoride is an element with moderate absorption (<70%) in both directions (absorptive and secretory). Both in absorption (apical-basolateral) and in secretion (basolateral-apical) there is transport by the paracellular pathway, which may be considered predominant. Absorption and secretion of fluoride increase at acid pH levels, possibly because of its non-ionized state at these pHs and/or because of participation of a F(-)/H(+) cotransporter or a F(-)/OH(-) antiporter. The results also suggest transcellular participation of mechanisms involved in transport of Cl(-) and of an active transport in the secretory direction. The",fluoride acts as SUBSTRATE for what entity? ,F(-)/OH(-) antiporter,-1.0,-1.0
" opening of cell junctions, presence of anions). The results indicate that fluoride is an element with moderate absorption (<70%) in both directions (absorptive and secretory). Both in absorption (apical-basolateral) and in secretion (basolateral-apical) there is transport by the paracellular pathway, which may be considered predominant. Absorption and secretion of fluoride increase at acid pH levels, possibly because of its non-ionized state at these pHs and/or because of participation of a F(-)/H(+) cotransporter or a F(-)/OH(-) antiporter. The results also suggest transcellular participation of mechanisms involved in transport of Cl(-) and of an active transport in the secretory direction. The",fluoride acts as SUBSTRATE for what entity? ,F(-)/H(+) cotransporter,520.0,497.0
